Title;Genre;Series or Movie;IMDb Score
I;Action;Movie;65
The Mysterians;Action;Movie;62
Harrys Daughters;Adventure;Movie;81
Moxie;Animation;Movie;63
Girls und Panzer das Finale;Animation;Series;73
HOW TO BUILD A GIRL;Comedy;Movie;58
The Con-Heartist;Comedy;Movie;74
Snowroller;Comedy;Movie;66
Sunes Summer;Comedy;Movie;55
The Stig-Helmer Story;Comedy;Movie;45
Indoo Ki Jawani;Comedy;Movie;14
The Closet;Comedy;Movie;70
Lets Fight Ghost;Crime;Series;79
Instynkt;Crime;Series;39
The Invisible;Crime;Movie;62
Joker;Crime;Movie;84
The Coroner;Crime;Series;70
Centigrade;Drama;Movie;43
ANNE+;Drama;Series;65
Gleboka woda;Drama;Series;75
Only a Mother;Drama;Movie;67
The Simple Minded Murderer;Drama;Movie;76
False As Water;Drama;Movie;63
1939;Drama;Movie;55
Brave New World;Drama;Series;71
Comrades: Almost a Love Story;Drama;Movie;81
Gyllene Tider;Music;Movie;77
To Kill a Child;Short;Movie;77
Bang!;Short;Movie;56
A Guest Is Coming;Thriller;Movie;54
